fish_ID,species,month,location,location_lat,location_lon,acclim_temp,LRR_sustained
4,notropis_rubricroceus,june,high,36.176,-82.079,13.6,30.7
5,etheostoma_rufilineatum,june,low,35.983,-83.161,22.4,34.5
6,etheostoma_rufilineatum,june,low,35.983,-83.161,22.6,32.6
7,notropis_rubricroceus,june,high,36.176,-82.079,13.6,29.5
8,notropis_rubricroceus,june,high,36.176,-82.079,13.6,31.9
9,etheostoma_rufilineatum,june,low,35.983,-83.161,22.4,34.6
10,etheostoma_rufilineatum,june,low,35.983,-83.161,22.6,34.1
11,notropis_rubricroceus,june,high,36.176,-82.079,13.6,32.4
12,notropis_rubricroceus,june,high,36.176,-82.079,13.6,32.6
13,etheostoma_rufilineatum,june,low,35.983,-83.161,22.4,34.6
14,notropis_rubricroceus,june,high,36.176,-82.079,18,33.2
15,notropis_rubricroceus,june,high,36.176,-82.079,18,34.3
16,notropis_rubricroceus,june,high,36.176,-82.079,18,35.1
17,notropis_rubricroceus,june,high,36.176,-82.079,18,34.8
18,notropis_rubricroceus,june,high,36.176,-82.079,18,34.8
19,etheostoma_chlorobranchium,june,low,36.105,-82.448,22.6,32
20,etheostoma_chlorobranchium,june,low,36.105,-82.448,22.4,32.5
21,etheostoma_chlorobranchium,june,low,36.105,-82.448,22.6,33.3
22,etheostoma_chlorobranchium,june,low,36.105,-82.448,22.4,33.5
23,etheostoma_chlorobranchium,june,low,36.105,-82.448,22.6,35.1
24,etheostoma_chlorobranchium,june,low,36.105,-82.448,22.4,34.3
25,etheostoma_rufilineatum,june,low,35.983,-83.161,18.2,31.4
26,notropis_leuciodus,june,high,36.078,-82.497,18,31.5
27,notropis_leuciodus,june,high,36.078,-82.497,18,32.3
28,etheostoma_rufilineatum,june,low,35.983,-83.161,18.2,32.1
29,etheostoma_rufilineatum,june,low,35.983,-83.161,18.2,31
30,notropis_leuciodus,june,high,36.078,-82.497,18,31
31,notropis_leuciodus,june,high,36.078,-82.497,18,31.7
32,etheostoma_rufilineatum,june,low,35.983,-83.161,18.2,31.3
33,etheostoma_rufilineatum,june,low,35.983,-83.161,18.2,32.2
34,notropis_leuciodus,june,high,36.078,-82.497,18,32.5
35,etheostoma_chlorobranchium,june,low,36.105,-82.448,18.3,33.9
36,etheostoma_chlorobranchium,june,low,36.105,-82.448,18.3,34.8
37,etheostoma_chlorobranchium,june,low,36.105,-82.448,18.3,33.2
38,etheostoma_chlorobranchium,june,low,36.105,-82.448,18.3,32.8
39,etheostoma_chlorobranchium,june,low,36.105,-82.448,18.3,33
40,etheostoma_chlorobranchium,june,high,36.078,-82.497,18.4,32.6
41,etheostoma_chlorobranchium,june,high,36.078,-82.497,18.4,32.2
42,notropis_rubricroceus,june,high,36.176,-82.079,21.9,34.5
43,notropis_rubricroceus,june,high,36.176,-82.079,22,34.3
44,etheostoma_chlorobranchium,june,high,36.078,-82.497,18.4,32.6
45,etheostoma_chlorobranchium,june,high,36.078,-82.497,18.4,32.2
46,notropis_rubricroceus,june,high,36.176,-82.079,22,34.9
47,notropis_rubricroceus,june,high,36.176,-82.079,21.9,34.8
48,etheostoma_chlorobranchium,june,high,36.078,-82.497,18.4,33.2
49,etheostoma_chlorobranchium,june,high,36.078,-82.497,18.4,32
50,notropis_rubricroceus,june,high,36.176,-82.079,21.9,34.8
51,notropis_rubricroceus,june,high,36.176,-82.079,22,34
52,etheostoma_rufilineatum,june,high,36.349,-82.212,17.5,31.7
53,etheostoma_rufilineatum,june,high,36.349,-82.212,17.5,32.2
54,etheostoma_rufilineatum,june,low,35.983,-83.161,14.1,30.4
55,etheostoma_rufilineatum,june,low,35.983,-83.161,14.1,29.9
56,etheostoma_rufilineatum,june,high,36.349,-82.212,17.5,32.1
57,etheostoma_rufilineatum,june,high,36.349,-82.212,17.5,31.7
58,etheostoma_rufilineatum,june,low,35.983,-83.161,14.1,30.7
59,etheostoma_rufilineatum,june,low,35.983,-83.161,14.1,30.1
60,etheostoma_rufilineatum,june,high,36.349,-82.212,17.5,32.7
61,etheostoma_rufilineatum,june,low,35.983,-83.161,14.1,30
62,etheostoma_rufilineatum,june,low,35.983,-83.161,14.1,29
63,notropis_leuciodus,june,high,36.078,-82.497,21.6,34.4
64,notropis_rubricroceus,june,low,36.15,-82.528,21.7,35
65,notropis_leuciodus,june,low,35.786,-83.884,22.6,34.8
66,notropis_leuciodus,june,high,36.078,-82.497,21.6,34.1
67,notropis_rubricroceus,june,low,36.15,-82.528,21.9,34.2
68,notropis_leuciodus,june,low,35.786,-83.884,22.3,34.8
69,notropis_leuciodus,june,high,36.078,-82.497,21.6,33.7
70,notropis_rubricroceus,june,low,36.15,-82.528,21.9,34.1
71,notropis_leuciodus,june,high,36.078,-82.497,21.6,34.8
72,notropis_rubricroceus,june,low,36.15,-82.528,21.7,34.6
73,notropis_rubricroceus,june,low,36.15,-82.528,21.9,35.4
74,notropis_leuciodus,june,high,36.078,-82.497,21.6,32.8
75,notropis_leuciodus,june,low,35.786,-83.884,22.6,34.2
76,notropis_leuciodus,june,low,35.786,-83.884,22.3,34.4
77,notropis_leuciodus,june,low,35.786,-83.884,22.7,34.5
78,notropis_leuciodus,june,low,35.786,-83.884,22.3,34
79,notropis_leuciodus,june,high,36.078,-82.497,14.1,29.6
80,etheostoma_chlorobranchium,june,low,36.105,-82.448,14.6,30.4
81,etheostoma_chlorobranchium,june,low,36.105,-82.448,14.6,30.9
82,notropis_leuciodus,june,high,36.078,-82.497,14,30
83,notropis_leuciodus,june,high,36.078,-82.497,14.1,29.5
84,etheostoma_chlorobranchium,june,low,36.105,-82.448,14.6,30.9
85,etheostoma_chlorobranchium,june,low,36.105,-82.448,14.6,30.4
86,notropis_leuciodus,june,high,36.078,-82.497,14,29.5
87,etheostoma_chlorobranchium,june,low,36.105,-82.448,14.6,31.9
88,etheostoma_chlorobranchium,june,low,36.105,-82.448,14.6,32.4
89,notropis_rubricroceus,june,low,36.15,-82.528,17.6,31.8
90,notropis_rubricroceus,june,low,36.15,-82.528,17.6,33
91,notropis_rubricroceus,june,low,36.15,-82.528,14.6,28.7
92,notropis_rubricroceus,june,low,36.15,-82.528,14.6,28.5
93,notropis_rubricroceus,june,low,36.15,-82.528,17.6,29.2
94,notropis_rubricroceus,june,low,36.15,-82.528,17.6,29.3
95,notropis_rubricroceus,june,low,36.15,-82.528,14.6,30.8
96,notropis_rubricroceus,june,low,36.15,-82.528,14.6,30.2
97,notropis_rubricroceus,june,low,36.15,-82.528,17.6,31
98,notropis_rubricroceus,june,low,36.15,-82.528,14.6,29.9
99,etheostoma_rufilineatum,june,high,36.349,-82.212,13.9,32.2
100,etheostoma_rufilineatum,june,high,36.349,-82.212,13.9,30.7
101,etheostoma_chlorobranchium,june,high,36.078,-82.497,22.5,33.9
102,etheostoma_chlorobranchium,june,high,36.078,-82.497,22.7,34.8
103,etheostoma_chlorobranchium,june,high,36.078,-82.497,22.5,34.5
104,etheostoma_chlorobranchium,june,high,36.078,-82.497,22.7,35.6
105,etheostoma_rufilineatum,june,high,36.349,-82.212,13.9,31.7
106,etheostoma_rufilineatum,june,high,36.349,-82.212,13.9,32
107,etheostoma_chlorobranchium,june,high,36.078,-82.497,21.9,34.4
108,etheostoma_chlorobranchium,june,high,36.078,-82.497,21.9,34
109,etheostoma_rufilineatum,june,high,36.349,-82.212,13.9,31.3
110,notropis_leuciodus,june,low,35.786,-83.884,18.5,32.7
111,notropis_leuciodus,june,low,35.786,-83.884,18.5,32.3
112,etheostoma_rufilineatum,june,high,36.349,-82.212,22,33.6
113,etheostoma_rufilineatum,june,high,36.349,-82.212,22.4,33.5
114,notropis_leuciodus,june,low,35.786,-83.884,18.5,32.4
115,notropis_leuciodus,june,low,35.786,-83.884,18.5,32.1
116,etheostoma_rufilineatum,june,high,36.349,-82.212,22,34.6
117,etheostoma_rufilineatum,june,high,36.349,-82.212,22.4,32.8
118,notropis_leuciodus,june,low,35.786,-83.884,18.5,31.5
119,notropis_leuciodus,june,low,35.786,-83.884,18.5,31.8
120,etheostoma_rufilineatum,june,high,36.349,-82.212,22,33.7
121,etheostoma_rufilineatum,june,high,36.349,-82.212,22.4,34.9
122,notropis_leuciodus,june,low,35.786,-83.884,14,29.2
123,etheostoma_chlorobranchium,june,high,36.078,-82.497,14.4,30.1
124,etheostoma_chlorobranchium,june,high,36.078,-82.497,14.4,30.5
125,notropis_leuciodus,june,low,35.786,-83.884,14,29.4
126,notropis_leuciodus,june,low,35.786,-83.884,14,29.9
127,etheostoma_chlorobranchium,june,high,36.078,-82.497,14.4,30.6
128,etheostoma_chlorobranchium,june,high,36.078,-82.497,14.4,31.6
129,notropis_leuciodus,june,low,35.786,-83.884,14,30.2
130,notropis_leuciodus,june,low,35.786,-83.884,14,30
131,etheostoma_chlorobranchium,june,high,36.078,-82.497,14.4,32.1
132,etheostoma_rufilineatum,august,low,35.983,-83.161,25.7,35.1
133,etheostoma_rufilineatum,august,low,35.983,-83.161,25.7,33.6
134,etheostoma_rufilineatum,august,low,35.983,-83.161,25.7,35.2
135,etheostoma_rufilineatum,august,low,35.983,-83.161,25.7,34.7
136,etheostoma_rufilineatum,august,low,35.983,-83.161,25.7,35.5
137,etheostoma_rufilineatum,august,low,35.983,-83.161,25.7,35.3
138,etheostoma_rufilineatum,august,low,35.983,-83.161,22.4,32.6
139,etheostoma_rufilineatum,august,low,35.983,-83.161,22.2,33
140,etheostoma_rufilineatum,august,low,35.983,-83.161,25.8,33.9
141,etheostoma_rufilineatum,august,low,35.983,-83.161,25.8,34.4
142,etheostoma_rufilineatum,august,low,35.983,-83.161,25.8,34.4
143,etheostoma_rufilineatum,august,low,35.983,-83.161,25.8,32.9
144,etheostoma_rufilineatum,august,low,35.983,-83.161,18.2,33.3
145,etheostoma_rufilineatum,august,low,35.983,-83.161,18.2,33.7
146,etheostoma_rufilineatum,august,low,35.983,-83.161,18.2,33.3
147,etheostoma_rufilineatum,august,low,35.983,-83.161,18.2,33.5
148,notropis_rubricroceus,august,high,36.176,-82.079,17.8,32.8
149,notropis_rubricroceus,august,high,36.176,-82.079,17.8,32.9
150,notropis_rubricroceus,august,high,36.176,-82.079,17.8,32.7
151,notropis_rubricroceus,august,high,36.176,-82.079,17.8,33
152,notropis_rubricroceus,august,high,36.176,-82.079,17.8,33.2
153,notropis_rubricroceus,august,high,36.176,-82.079,17.8,32.3
154,notropis_rubricroceus,august,high,36.176,-82.079,22.3,35.7
155,notropis_rubricroceus,august,high,36.176,-82.079,22.3,35.3
156,notropis_rubricroceus,august,high,36.176,-82.079,22.1,34.6
157,notropis_rubricroceus,august,high,36.176,-82.079,22.1,35.2
158,notropis_rubricroceus,august,high,36.176,-82.079,22.1,34.9
159,notropis_leuciodus,august,high,36.078,-82.497,17.8,32.2
160,notropis_leuciodus,august,high,36.078,-82.497,17.8,32.1
161,notropis_leuciodus,august,high,36.078,-82.497,17.8,32
162,notropis_leuciodus,august,high,36.078,-82.497,17.8,32.3
163,notropis_leuciodus,august,high,36.078,-82.497,17.8,32.8
164,notropis_leuciodus,august,high,36.078,-82.497,17.8,32.2
165,notropis_rubricroceus,august,high,36.176,-82.079,25.5,36.9
166,notropis_rubricroceus,august,high,36.176,-82.079,26,36.9
167,notropis_rubricroceus,august,high,36.176,-82.079,26,36.6
168,notropis_rubricroceus,august,high,36.176,-82.079,25.5,36.8
169,notropis_rubricroceus,august,high,36.176,-82.079,26,36.9
170,notropis_rubricroceus,august,high,36.176,-82.079,25.5,36.8
171,notropis_leuciodus,august,high,36.078,-82.497,25.6,36.3
172,notropis_leuciodus,august,high,36.078,-82.497,25.6,35.8
173,notropis_leuciodus,august,high,36.078,-82.497,25.6,36.4
174,notropis_leuciodus,august,high,36.078,-82.497,25.6,36.7
175,notropis_leuciodus,august,high,36.078,-82.497,25.6,35.9
176,notropis_leuciodus,august,high,36.078,-82.497,25.6,35.7
177,notropis_rubricroceus,august,low,36.15,-82.528,17.4,31.6
178,notropis_rubricroceus,august,low,36.15,-82.528,17.4,31.8
179,notropis_rubricroceus,august,low,36.15,-82.528,17.4,30.7
180,notropis_rubricroceus,august,low,36.15,-82.528,17.4,30.4
181,notropis_rubricroceus,august,low,36.15,-82.528,17.4,31.6
182,notropis_rubricroceus,august,low,36.15,-82.528,17.4,31.2
183,notropis_rubricroceus,august,low,36.15,-82.528,21.9,33.8
184,notropis_rubricroceus,august,low,36.15,-82.528,21.8,33.7
185,notropis_rubricroceus,august,low,36.15,-82.528,21.8,33.2
186,notropis_rubricroceus,august,low,36.15,-82.528,21.9,33.7
187,notropis_rubricroceus,august,low,36.15,-82.528,21.9,34.2
188,notropis_rubricroceus,august,low,36.15,-82.528,21.8,33.4
189,notropis_rubricroceus,august,low,36.15,-82.528,26,35.2
190,notropis_rubricroceus,august,low,36.15,-82.528,26,36.5
191,notropis_rubricroceus,august,low,36.15,-82.528,26,36
192,notropis_rubricroceus,august,low,36.15,-82.528,26,35.9
193,notropis_rubricroceus,august,low,36.15,-82.528,26,36
194,notropis_rubricroceus,august,low,36.15,-82.528,26,36.4
195,etheostoma_rufilineatum,august,high,36.349,-82.212,22.3,33.1
196,etheostoma_rufilineatum,august,high,36.349,-82.212,22.2,32.8
197,etheostoma_rufilineatum,august,high,36.349,-82.212,22.2,34.4
198,etheostoma_rufilineatum,august,high,36.349,-82.212,22.3,30.2
199,etheostoma_rufilineatum,august,high,36.349,-82.212,22.2,34.4
200,etheostoma_rufilineatum,august,high,36.349,-82.212,18,32.1
201,etheostoma_rufilineatum,august,high,36.349,-82.212,18,32.6
202,etheostoma_rufilineatum,august,high,36.349,-82.212,18,34.1
203,etheostoma_rufilineatum,august,high,36.349,-82.212,18,36
204,etheostoma_rufilineatum,august,high,36.349,-82.212,18,31.4
205,etheostoma_rufilineatum,august,high,36.349,-82.212,18,31.4
206,etheostoma_rufilineatum,august,high,36.349,-82.212,25.4,33
207,etheostoma_rufilineatum,august,high,36.349,-82.212,26.1,35.1
208,etheostoma_rufilineatum,august,high,36.349,-82.212,26.1,31.3
209,etheostoma_rufilineatum,august,high,36.349,-82.212,25.4,32.2
210,etheostoma_rufilineatum,august,high,36.349,-82.212,25.4,34
211,etheostoma_rufilineatum,august,high,36.349,-82.212,26.1,35.3
212,etheostoma_chlorobranchium,august,high,36.078,-82.497,18.2,32.2
213,etheostoma_chlorobranchium,august,high,36.078,-82.497,18.2,32.4
214,etheostoma_chlorobranchium,august,high,36.078,-82.497,18.2,31.2
215,etheostoma_chlorobranchium,august,high,36.078,-82.497,18.2,32.3
216,etheostoma_chlorobranchium,august,high,36.078,-82.497,18.2,32.3
217,etheostoma_chlorobranchium,august,high,36.078,-82.497,18.2,31.6
218,etheostoma_chlorobranchium,august,low,36.105,-82.448,21.4,32.3
219,etheostoma_chlorobranchium,august,low,36.105,-82.448,21.6,33.4
220,etheostoma_chlorobranchium,august,low,36.105,-82.448,21.6,31.8
221,etheostoma_chlorobranchium,august,low,36.105,-82.448,21.4,33.2
222,etheostoma_chlorobranchium,august,low,36.105,-82.448,21.4,33.4
223,etheostoma_chlorobranchium,august,low,36.105,-82.448,21.6,33.6
224,notropis_leuciodus,august,high,36.078,-82.497,21.1,33.6
225,notropis_leuciodus,august,high,36.078,-82.497,21.1,33.5
226,notropis_leuciodus,august,high,36.078,-82.497,21.1,34.7
227,notropis_leuciodus,august,high,36.078,-82.497,21,32.6
228,notropis_leuciodus,august,high,36.078,-82.497,21,34.3
229,notropis_leuciodus,august,high,36.078,-82.497,21.1,34.2
230,etheostoma_chlorobranchium,august,high,36.078,-82.497,22,34.5
231,etheostoma_chlorobranchium,august,high,36.078,-82.497,22,34.5
232,etheostoma_chlorobranchium,august,high,36.078,-82.497,22,34.4
233,etheostoma_chlorobranchium,august,high,36.078,-82.497,22,34.2
234,etheostoma_chlorobranchium,august,high,36.078,-82.497,22,34.4
235,etheostoma_chlorobranchium,august,high,36.078,-82.497,22,33.7
236,etheostoma_chlorobranchium,august,high,36.078,-82.497,25.6,36.8
237,etheostoma_chlorobranchium,august,high,36.078,-82.497,25.6,36.7
238,etheostoma_chlorobranchium,august,high,36.078,-82.497,25.6,36.7
239,etheostoma_chlorobranchium,august,high,36.078,-82.497,25.6,36.8
240,etheostoma_chlorobranchium,august,high,36.078,-82.497,25.6,36
241,etheostoma_chlorobranchium,august,high,36.078,-82.497,25.6,35.8
242,etheostoma_chlorobranchium,august,low,36.105,-82.448,17.6,33.4
243,etheostoma_chlorobranchium,august,low,36.105,-82.448,17.6,31.1
244,etheostoma_chlorobranchium,august,low,36.105,-82.448,17.6,30.2
245,etheostoma_chlorobranchium,august,low,36.105,-82.448,17.6,32.5
246,etheostoma_chlorobranchium,august,low,36.105,-82.448,17.6,33.5
247,etheostoma_chlorobranchium,august,low,36.105,-82.448,17.6,32.9
248,etheostoma_chlorobranchium,august,low,36.105,-82.448,25.9,35.2
249,etheostoma_chlorobranchium,august,low,36.105,-82.448,25.9,36
250,etheostoma_chlorobranchium,august,low,36.105,-82.448,25.9,37.2
251,etheostoma_chlorobranchium,august,low,36.105,-82.448,25.9,36.1
252,etheostoma_chlorobranchium,august,low,36.105,-82.448,25.9,36.3
253,etheostoma_chlorobranchium,august,low,36.105,-82.448,25.9,35.7
