"Max Temperature, Min Temperature, Average Temperature, Error, Precipitation, Snowfall, Error, Heating Degree Days, Cooling Degree Days, Error Daily Lister (2022-01-01 - 2023-04-01), Stn: 12921"

Station:,SAN ANTONIO INTL AP,State:,TX,ID:,12921
Latitude:,29.54429 degreeN,Longitude:,98.48395 degreeW,Elevation:,799.0 feet
Station period of record:,maxt: 07/01/1942-04/12/2023; mint: 07/01/1942-04/12/2023; avgt: 07/01/1942-04/12/2023; obst: null; pcpn: 07/01/1942-04/12/2023; snow: 01/01/1944-04/12/2023; snwd: 09/01/1946-04/12/2023; hdd: 07/01/1942-04/12/2023; cdd: 07/01/1942-04/12/2023; evap: null

Date,maxt,mint,avgt,obst,pcpn,snow,snwd,hdd,cdd,evap
2022-01-01,79,47,63.0,M,0.00,0.0,0,2,0,M
2022-01-02,50,27,38.5,M,0.00,0.0,0,26,0,M
2022-01-03,56,26,41.0,M,0.00,0.0,0,24,0,M
2022-01-04,67,35,51.0,M,0.00,0.0,0,14,0,M
2022-01-05,77,38,57.5,M,0.00,0.0,0,7,0,M
2022-01-06,68,36,52.0,M,0.00,0.0,0,13,0,M
2022-01-07,44,32,38.0,M,T,0.0,0,27,0,M
2022-01-08,60,43,51.5,M,0.16,0.0,0,13,0,M
2022-01-09,69,48,58.5,M,0.00,0.0,0,6,0,M
2022-01-10,60,43,51.5,M,0.00,0.0,0,13,0,M
2022-01-11,49,37,43.0,M,0.01,0.0,0,22,0,M
2022-01-12,63,40,51.5,M,0.00,0.0,0,13,0,M
2022-01-13,77,36,56.5,M,0.00,0.0,0,8,0,M
2022-01-14,77,37,57.0,M,0.00,0.0,0,8,0,M
2022-01-15,64,41,52.5,M,T,0.0,0,12,0,M
2022-01-16,65,31,48.0,M,0.00,0.0,0,17,0,M
2022-01-17,70,32,51.0,M,0.00,0.0,0,14,0,M
2022-01-18,75,41,58.0,M,T,0.0,0,7,0,M
2022-01-19,77,46,61.5,M,T,0.0,0,3,0,M
2022-01-20,46,32,39.0,M,T,0.0,0,26,0,M
2022-01-21,53,32,42.5,M,0.00,0.0,0,22,0,M
2022-01-22,56,32,44.0,M,0.00,0.0,0,21,0,M
2022-01-23,56,47,51.5,M,0.00,0.0,0,13,0,M
2022-01-24,53,43,48.0,M,0.02,0.0,0,17,0,M
2022-01-25,59,45,52.0,M,0.00,0.0,0,13,0,M
2022-01-26,55,47,51.0,M,T,0.0,0,14,0,M
2022-01-27,62,37,49.5,M,T,0.0,0,15,0,M
2022-01-28,61,36,48.5,M,0.01,0.0,0,16,0,M
2022-01-29,66,29,47.5,M,0.00,0.0,0,17,0,M
2022-01-30,69,33,51.0,M,0.00,0.0,0,14,0,M
2022-01-31,60,55,57.5,M,0.12,0.0,0,7,0,M
2022-02-01,72,54,63.0,M,T,0.0,0,2,0,M
2022-02-02,64,38,51.0,M,0.16,0.0,0,14,0,M
2022-02-03,38,24,31.0,M,1.53,0.0,0,34,0,M
2022-02-04,43,21,32.0,M,0.00,0.0,0,33,0,M
2022-02-05,51,22,36.5,M,0.00,0.0,0,28,0,M
2022-02-06,61,26,43.5,M,0.00,0.0,0,21,0,M
2022-02-07,64,38,51.0,M,0.00,0.0,0,14,0,M
2022-02-08,66,31,48.5,M,0.00,0.0,0,16,0,M
2022-02-09,72,34,53.0,M,0.00,0.0,0,12,0,M
2022-02-10,72,39,55.5,M,0.00,0.0,0,9,0,M
2022-02-11,76,40,58.0,M,0.00,0.0,0,7,0,M
2022-02-12,57,34,45.5,M,0.00,0.0,0,19,0,M
2022-02-13,65,28,46.5,M,0.00,0.0,0,18,0,M
2022-02-14,69,32,50.5,M,0.00,0.0,0,14,0,M
2022-02-15,75,41,58.0,M,0.00,0.0,0,7,0,M
2022-02-16,80,58,69.0,M,T,0.0,0,0,4,M
2022-02-17,76,38,57.0,M,0.00,0.0,0,8,0,M
2022-02-18,63,34,48.5,M,0.00,0.0,0,16,0,M
2022-02-19,66,34,50.0,M,0.00,0.0,0,15,0,M
2022-02-20,74,41,57.5,M,0.00,0.0,0,7,0,M
2022-02-21,85,62,73.5,M,0.02,0.0,0,0,9,M
2022-02-22,85,57,71.0,M,0.00,0.0,0,0,6,M
2022-02-23,57,30,43.5,M,0.01,0.0,0,21,0,M
2022-02-24,41,30,35.5,M,T,0.0,0,29,0,M
2022-02-25,40,32,36.0,M,T,0.0,0,29,0,M
2022-02-26,42,35,38.5,M,0.02,0.0,0,26,0,M
2022-02-27,62,38,50.0,M,T,0.0,0,15,0,M
2022-02-28,68,31,49.5,M,0.00,0.0,0,15,0,M
2022-03-01,72,33,52.5,M,0.00,0.0,0,12,0,M
2022-03-02,74,40,57.0,M,0.00,0.0,0,8,0,M
2022-03-03,79,49,64.0,M,0.00,0.0,0,1,0,M
2022-03-04,81,62,71.5,M,0.00,0.0,0,0,7,M
2022-03-05,81,65,73.0,M,0.00,0.0,0,0,8,M
2022-03-06,83,68,75.5,M,0.00,0.0,0,0,11,M
2022-03-07,71,47,59.0,M,T,0.0,0,6,0,M
2022-03-08,60,43,51.5,M,T,0.0,0,13,0,M
2022-03-09,64,39,51.5,M,0.00,0.0,0,13,0,M
2022-03-10,74,36,55.0,M,0.00,0.0,0,10,0,M
2022-03-11,63,38,50.5,M,0.02,0.0,0,14,0,M
2022-03-12,56,26,41.0,M,0.00,0.0,0,24,0,M
2022-03-13,68,28,48.0,M,0.00,0.0,0,17,0,M
2022-03-14,82,46,64.0,M,0.00,0.0,0,1,0,M
2022-03-15,80,48,64.0,M,0.00,0.0,0,1,0,M
2022-03-16,83,44,63.5,M,0.00,0.0,0,1,0,M
2022-03-17,79,53,66.0,M,T,0.0,0,0,1,M
2022-03-18,75,50,62.5,M,0.00,0.0,0,2,0,M
2022-03-19,79,42,60.5,M,0.00,0.0,0,4,0,M
2022-03-20,79,43,61.0,M,0.00,0.0,0,4,0,M
2022-03-21,89,60,74.5,M,0.23,0.0,0,0,10,M
2022-03-22,69,47,58.0,M,T,0.0,0,7,0,M
2022-03-23,72,41,56.5,M,0.00,0.0,0,8,0,M
2022-03-24,80,42,61.0,M,0.00,0.0,0,4,0,M
2022-03-25,87,41,64.0,M,0.00,0.0,0,1,0,M
2022-03-26,91,46,68.5,M,0.00,0.0,0,0,4,M
2022-03-27,87,49,68.0,M,0.00,0.0,0,0,3,M
2022-03-28,87,45,66.0,M,0.00,0.0,0,0,1,M
2022-03-29,84,66,75.0,M,0.00,0.0,0,0,10,M
2022-03-30,85,59,72.0,M,0.07,0.0,0,0,7,M
2022-03-31,80,47,63.5,M,0.00,0.0,0,1,0,M
2022-04-01,84,51,67.5,M,0.00,0.0,0,0,3,M
2022-04-02,92,63,77.5,M,0.00,0.0,0,0,13,M
2022-04-03,86,59,72.5,M,0.00,0.0,0,0,8,M
2022-04-04,83,66,74.5,M,0.00,0.0,0,0,10,M
2022-04-05,95,68,81.5,M,0.00,0.0,0,0,17,M
2022-04-06,82,61,71.5,M,0.00,0.0,0,0,7,M
2022-04-07,79,49,64.0,M,0.00,0.0,0,1,0,M
2022-04-08,81,44,62.5,M,0.00,0.0,0,2,0,M
2022-04-09,88,47,67.5,M,0.00,0.0,0,0,3,M
2022-04-10,92,62,77.0,M,0.19,0.0,0,0,12,M
2022-04-11,81,69,75.0,M,0.00,0.0,0,0,10,M
2022-04-12,94,71,82.5,M,0.01,0.0,0,0,18,M
2022-04-13,98,69,83.5,M,T,0.0,0,0,19,M
2022-04-14,86,59,72.5,M,0.00,0.0,0,0,8,M
2022-04-15,84,61,72.5,M,T,0.0,0,0,8,M
2022-04-16,90,70,80.0,M,T,0.0,0,0,15,M
2022-04-17,86,71,78.5,M,T,0.0,0,0,14,M
2022-04-18,86,65,75.5,M,0.00,0.0,0,0,11,M
2022-04-19,69,57,63.0,M,0.07,0.0,0,2,0,M
2022-04-20,84,69,76.5,M,T,0.0,0,0,12,M
2022-04-21,81,71,76.0,M,0.02,0.0,0,0,11,M
2022-04-22,89,71,80.0,M,0.00,0.0,0,0,15,M
2022-04-23,89,70,79.5,M,T,0.0,0,0,15,M
2022-04-24,89,69,79.0,M,T,0.0,0,0,14,M
2022-04-25,76,62,69.0,M,0.70,0.0,0,0,4,M
2022-04-26,74,56,65.0,M,0.22,0.0,0,0,0,M
2022-04-27,80,61,70.5,M,0.00,0.0,0,0,6,M
2022-04-28,87,69,78.0,M,T,0.0,0,0,13,M
2022-04-29,87,70,78.5,M,0.01,0.0,0,0,14,M
2022-04-30,86,71,78.5,M,0.02,0.0,0,0,14,M
2022-05-01,91,72,81.5,M,T,0.0,0,0,17,M
2022-05-02,81,71,76.0,M,0.13,0.0,0,0,11,M
2022-05-03,89,74,81.5,M,0.00,0.0,0,0,17,M
2022-05-04,88,68,78.0,M,0.23,0.0,0,0,13,M
2022-05-05,87,70,78.5,M,T,0.0,0,0,14,M
2022-05-06,96,65,80.5,M,0.00,0.0,0,0,16,M
2022-05-07,101,73,87.0,M,0.00,0.0,0,0,22,M
2022-05-08,101,75,88.0,M,0.00,0.0,0,0,23,M
2022-05-09,97,76,86.5,M,0.00,0.0,0,0,22,M
2022-05-10,96,76,86.0,M,0.00,0.0,0,0,21,M
2022-05-11,96,73,84.5,M,0.00,0.0,0,0,20,M
2022-05-12,96,71,83.5,M,0.00,0.0,0,0,19,M
2022-05-13,93,71,82.0,M,0.00,0.0,0,0,17,M
2022-05-14,97,71,84.0,M,0.00,0.0,0,0,19,M
2022-05-15,98,71,84.5,M,0.00,0.0,0,0,20,M
2022-05-16,97,72,84.5,M,0.00,0.0,0,0,20,M
2022-05-17,100,71,85.5,M,0.00,0.0,0,0,21,M
2022-05-18,101,72,86.5,M,0.00,0.0,0,0,22,M
2022-05-19,98,72,85.0,M,0.00,0.0,0,0,20,M
2022-05-20,96,77,86.5,M,T,0.0,0,0,22,M
2022-05-21,101,72,86.5,M,T,0.0,0,0,22,M
2022-05-22,86,65,75.5,M,0.00,0.0,0,0,11,M
2022-05-23,87,69,78.0,M,0.01,0.0,0,0,13,M
2022-05-24,90,63,76.5,M,0.42,0.0,0,0,12,M
2022-05-25,87,63,75.0,M,0.07,0.0,0,0,10,M
2022-05-26,96,59,77.5,M,0.00,0.0,0,0,13,M
2022-05-27,99,72,85.5,M,0.00,0.0,0,0,21,M
2022-05-28,99,73,86.0,M,0.00,0.0,0,0,21,M
2022-05-29,99,74,86.5,M,0.00,0.0,0,0,22,M
2022-05-30,96,77,86.5,M,0.00,0.0,0,0,22,M
2022-05-31,99,77,88.0,M,0.00,0.0,0,0,23,M
2022-06-01,99,77,88.0,M,T,0.0,0,0,23,M
2022-06-02,95,75,85.0,M,0.00,0.0,0,0,20,M
2022-06-03,95,76,85.5,M,0.00,0.0,0,0,21,M
2022-06-04,97,71,84.0,M,0.10,0.0,0,0,19,M
2022-06-05,102,74,88.0,M,0.00,0.0,0,0,23,M
2022-06-06,104,76,90.0,M,0.00,0.0,0,0,25,M
2022-06-07,104,77,90.5,M,0.00,0.0,0,0,26,M
2022-06-08,101,77,89.0,M,0.00,0.0,0,0,24,M
2022-06-09,99,76,87.5,M,0.00,0.0,0,0,23,M
2022-06-10,101,77,89.0,M,0.00,0.0,0,0,24,M
2022-06-11,104,78,91.0,M,0.00,0.0,0,0,26,M
2022-06-12,105,76,90.5,M,0.00,0.0,0,0,26,M
2022-06-13,101,78,89.5,M,0.00,0.0,0,0,25,M
2022-06-14,100,78,89.0,M,0.00,0.0,0,0,24,M
2022-06-15,95,80,87.5,M,0.00,0.0,0,0,23,M
2022-06-16,102,76,89.0,M,0.00,0.0,0,0,24,M
2022-06-17,98,75,86.5,M,0.00,0.0,0,0,22,M
2022-06-18,98,74,86.0,M,0.00,0.0,0,0,21,M
2022-06-19,100,76,88.0,M,0.00,0.0,0,0,23,M
2022-06-20,100,75,87.5,M,0.00,0.0,0,0,23,M
2022-06-21,100,77,88.5,M,0.00,0.0,0,0,24,M
2022-06-22,98,77,87.5,M,0.00,0.0,0,0,23,M
2022-06-23,101,78,89.5,M,0.00,0.0,0,0,25,M
2022-06-24,101,76,88.5,M,0.00,0.0,0,0,24,M
2022-06-25,100,76,88.0,M,0.00,0.0,0,0,23,M
2022-06-26,99,78,88.5,M,0.00,0.0,0,0,24,M
2022-06-27,101,75,88.0,M,T,0.0,0,0,23,M
2022-06-28,91,71,81.0,M,0.53,0.0,0,0,16,M
2022-06-29,97,69,83.0,M,0.00,0.0,0,0,18,M
2022-06-30,98,74,86.0,M,0.00,0.0,0,0,21,M
2022-07-01,100,76,88.0,M,0.00,0.0,0,0,23,M
2022-07-02,101,78,89.5,M,0.00,0.0,0,0,25,M
2022-07-03,100,80,90.0,M,0.00,0.0,0,0,25,M
2022-07-04,101,77,89.0,M,0.00,0.0,0,0,24,M
2022-07-05,100,78,89.0,M,0.00,0.0,0,0,24,M
2022-07-06,101,78,89.5,M,0.00,0.0,0,0,25,M
2022-07-07,100,78,89.0,M,0.00,0.0,0,0,24,M
2022-07-08,101,78,89.5,M,0.00,0.0,0,0,25,M
2022-07-09,104,78,91.0,M,0.00,0.0,0,0,26,M
2022-07-10,106,80,93.0,M,0.00,0.0,0,0,28,M
2022-07-11,107,82,94.5,M,0.00,0.0,0,0,30,M
2022-07-12,105,80,92.5,M,0.00,0.0,0,0,28,M
2022-07-13,104,81,92.5,M,0.00,0.0,0,0,28,M
2022-07-14,102,78,90.0,M,0.00,0.0,0,0,25,M
2022-07-15,97,74,85.5,M,0.01,0.0,0,0,21,M
2022-07-16,100,76,88.0,M,0.00,0.0,0,0,23,M
2022-07-17,102,76,89.0,M,0.00,0.0,0,0,24,M
2022-07-18,101,77,89.0,M,0.00,0.0,0,0,24,M
2022-07-19,103,78,90.5,M,0.00,0.0,0,0,26,M
2022-07-20,104,78,91.0,M,0.00,0.0,0,0,26,M
2022-07-21,102,80,91.0,M,0.00,0.0,0,0,26,M
2022-07-22,102,79,90.5,M,0.00,0.0,0,0,26,M
2022-07-23,101,78,89.5,M,0.00,0.0,0,0,25,M
2022-07-24,101,79,90.0,M,0.00,0.0,0,0,25,M
2022-07-25,101,78,89.5,M,0.00,0.0,0,0,25,M
2022-07-26,101,75,88.0,M,0.00,0.0,0,0,23,M
2022-07-27,99,78,88.5,M,0.00,0.0,0,0,24,M
2022-07-28,100,77,88.5,M,0.00,0.0,0,0,24,M
2022-07-29,101,79,90.0,M,0.00,0.0,0,0,25,M
2022-07-30,101,75,88.0,M,0.00,0.0,0,0,23,M
2022-07-31,101,79,90.0,M,0.00,0.0,0,0,25,M
2022-08-01,100,76,88.0,M,0.00,0.0,0,0,23,M
2022-08-02,102,78,90.0,M,0.00,0.0,0,0,25,M
2022-08-03,103,79,91.0,M,0.00,0.0,0,0,26,M
2022-08-04,103,79,91.0,M,0.00,0.0,0,0,26,M
2022-08-05,100,78,89.0,M,0.00,0.0,0,0,24,M
2022-08-06,97,78,87.5,M,0.05,0.0,0,0,23,M
